start_time:,17:25,criteria:,"1 for ""minimize redundancy/duplication"" or ""no more data replication than there needs to be"" or ""eliminate as much redundancy as you can that makes sense""; else 0.9 for ""eliminate/remove redundancy/duplication""; else 0.9 for ""gets rid of extra information"" or ""reduce chance for redundant data"" or ""no repeating records"" AND other discussion of the process rules/steps; else 0.9 for ""ensure the same information does not need to be entered more than once""; else 0.8 for a response which addresses database functionality, usability, efficiency, or capabilities","1 for quantifiable benefits (e.g. time/costs) which result from ""reduced/eliminated manual input errors"" or ""improved data quality/reliability/integrity/accuracy"" or ""prevented malicious actions"" or ""prevented extra work""; else 0.9 for those same or similar benefits which are **assumed** to lead to quantifiable benefits; else 0.8 for relevant response; else 0.7 for a response","1 for ""sharing/processing/sending/consuming/parsing information"" or using ""URL/network requests"" or ""consuming xml/json"" datatypes, even if there are improper nuances within the definition like confusion about APIs either **being** or **being written in** XML/JSON; else 1 for ""software-building rules"" because the question doesn't specify my intent to ask about data-related apis only; else 1 for discussion of database interfaces; else 1 for discussion of API purposes/functions; else 0.3 for a response","1 for discussing a specific api and its value; else 1 for a non-data-related api and its value, because the question does not specify my intent to limit responses to data-related APIs; else 0.9 for missing value to org; else 0.8 for general category like ""a credit card API"" and its value/purpose/function; else 0.8 for discussion of using a database in a specific type of company, and its value; else 0.7 for discussion of using a database; else 0.5 for discussion of value/functions or for naming a technology/application which likely uses an API;",see two component criteria,"1 for a m:m relation from Platform to Publisher through Game, with a self-relationship between Game and Predecessor; else 0.9 for getting the self-relationship but creating a correct but otherwise unnecessary entity in place of and in addition to Game; else 0.9 for missing the self-relationship between Game and Predecessor; else 0.8 for otherwise correct but not abstracting Publisher out from Game; else 0.75 for otherwise correct except a m:m relationship between Game and Platform through a join table; else 0.75 for proper entities and relationships but with foreign key missing or misplacement; else 0.75 for proper entity and foreign key placement but reversed cardinalities; else 0.7 for naming three entities properly and including at least two separate correct sides of cardinality; else 0.65 for naming two entities and including two correct cardinality sides; else 0.6 for naming two entities properly and including one correct side of cardinality; else .5 for naming at least one entity properly and/or one proper relationship","1 for replacing the combination of violations.business_id and violations.date with violations.inspection_id; else 0.85 for the right answer but one wrong cardinality side; else 0.85 for inserting violations.inspection_id but not as a complete replacement (with or without extra relationship); else 0.75 for inserting violations.inspection_id but not as a complete replacement, AND missing one or more cardinalities; else 0.75 for properly drawing the existing table relationships (with or without extra relationship); else 0.7 for only removing violations.date; else 0.7 for properly drawing the existing table relationships (with or without the extra relationship) but with improper cardinality; else 0.65 for improper relationships (e.g. a non-extra m:m or 1:1); else 0.6 for improper relationships (e.g. more than one non-extra m:m or 1:1)","1 for User has many Comment, User has many Post, Post has many Comment, Post has and belongs to many Tag through PostTag; else 0.9 for the circular relationship but leaving tags in Post or not addressing tags or improperly addressing tags; else 0.85 for the circular relationship but also with an extra User entity, and not addressing tags; else 0.8 for separating Author from Commentor and not addressing tags; else 0.75 for getting the circular relationship but not merging commenter1 and commenter2 and not addressing tags and one improper cardinality; else 0.75 for getting PostTag but not addressing Commenter and with an improper cardinality; else 0.75 for not combining Commenter1 with Commenter2 and not addressing tags; else 0.75 for not connecting Comment and Author or not connecting Post and Comment; else 0.7 for an improper entity name and multiple improper cardinalities; else 0.7 for not combining Commenter1 with Commenter2, but with extra entity/relationships and not addressing tags; else 0.6 for a proper relationship between two Entities, or two properly named entities","1 for ternary relationship of (Location, Indicator/Disease, and Stratifier) having many Measurement/Prevalence/Occurrence/Case, or for (Category, Stratifier, Location) having many Indicator, or for (Indicator, Location, Stratifier, Year) having many Value, or for (Disease, Place, Gender) having many Indicator, or for (Indicator, Location, Stratifier) having many Disease; else 1 for (Indicator, DataCollection) having many Result, with 'location' and 'year' in DataCollection, and 'strat' and 'value' in Result; else 0.85 for proper ternary relationship but also with extra 1:m relationship; else 0.8 for (Disease, Location) having many Strat, with 'gender', 'year', and 'value' in Strat; else 0.8 for (Location, Indicator) having many Stratifier, with 'value' in Stratifier; else 0.75 for four proper entity names and many m:m relationships between each; else 0.75 for Indicator has and belongs to many Location with 'value' in the join table; else 0.75 for (Location, Strat) having many Indicator, but with 'value' not in Indicator; else 0.7 for Category/Iteration has many Stratifier, with 'value' in Stratifier, and Category has and belongs to many Location; else .6 for Strat has many Indicator, but with 'value' not in Indicator; else .6 for two properly named entities and two proper relationships; else 0.55 for properly named entities and one or one-half proper relationship; else 0.5 for two properly named entities with some appropriate attributes but without any relationships",,max,
,,weight:,10%,5%,,,10%,20%,15%,20%,20%,100%,95.50,
student_id,sub_time,sub_id,c1,c2,c3_definition_purpose_functionality,c3_specific_api_value,c3,d1,d2,d3,d4,score,curve1,curve2
21,19:03,22,1.00,0.90,1.00,1.00,1.00,0.90,1.00,0.90,1.00,95.50,100.00,100.00
27,18:46,17,0.90,1.00,1.00,1.00,1.00,0.90,1.00,0.90,1.00,95.00,99.48,99.50
23,18:13,3,1.00,1.00,1.00,1.00,1.00,0.90,1.00,0.80,1.00,94.00,98.43,98.50
24,19:19,31,1.00,1.00,1.00,0.90,0.95,0.90,1.00,0.80,0.85,90.50,94.76,95.00
10,18:41,15,0.90,1.00,1.00,1.00,1.00,0.80,0.85,0.80,1.00,88.75,92.93,93.25
16,18:56,20,0.90,0.90,1.00,0.70,0.85,0.90,0.70,0.90,1.00,88.50,92.67,93.00
29,18:10,1,0.90,0.90,1.00,0.80,0.90,0.75,0.85,0.90,1.00,88.25,92.41,92.75
12,18:27,9,0.80,1.00,1.00,0.80,0.90,0.75,1.00,0.80,1.00,88.00,92.15,92.50
7,19:08,24,0.80,1.00,1.00,1.00,1.00,0.90,0.75,0.75,1.00,87.25,91.36,91.75
1,19:05,23,0.80,0.90,1.00,1.00,1.00,0.90,0.70,0.75,1.00,86.00,90.05,90.50
9,18:33,11,0.90,0.90,1.00,1.00,1.00,0.90,0.75,0.90,0.75,85.75,89.79,90.25
5,18:38,14,0.90,1.00,1.00,1.00,1.00,0.90,0.85,0.70,0.70,82.75,86.65,87.25
31,18:12,2,0.90,0.90,1.00,1.00,1.00,0.65,0.75,0.75,1.00,82.75,86.65,87.25
19,18:32,10,0.80,1.00,1.00,1.00,1.00,0.75,0.75,0.85,0.75,81.25,85.08,85.75
13,18:26,8,0.90,1.00,1.00,1.00,1.00,0.75,0.65,0.80,0.80,80.75,84.55,85.25
4,19:20,34,0.80,1.00,1.00,1.00,1.00,0.90,0.65,0.75,0.75,80.75,84.55,85.25
36,19:13,30,1.00,0.90,1.00,0.80,0.90,0.65,0.75,0.75,0.75,77.75,81.41,82.25
18,19:11,25,0.90,1.00,1.00,1.00,1.00,0.90,0.60,0.60,0.70,77.00,80.63,81.50
17,18:19,6,0.90,1.00,1.00,1.00,1.00,0.60,0.75,0.60,0.75,74.25,77.75,78.75
11,18:18,4,0.80,1.00,1.00,0.80,0.90,0.70,0.60,0.70,0.75,74.00,77.49,78.50
26,19:13,29,0.80,1.00,1.00,1.00,1.00,0.75,0.65,0.75,0.55,73.75,77.23,78.25
6,19:20,33,0.90,0.80,1.00,0.80,0.90,0.75,0.75,0.60,0.60,72.25,75.65,76.75
14,18:50,18,1.00,0.70,1.00,0.50,0.75,0.75,0.60,0.80,0.55,72.00,75.39,76.50
34,18:44,16,0.90,1.00,1.00,1.00,1.00,0.70,0.60,0.70,0.55,72.00,75.39,76.50
25,18:36,12,0.90,0.70,0.30,0.50,0.40,0.60,0.75,0.85,0.75,71.75,75.13,76.25
3,19:15,27,0.90,1.00,1.00,1.00,1.00,0.65,0.75,0.60,0.55,71.25,74.61,75.75
22,18:54,19,0.90,1.00,1.00,1.00,1.00,0.50,0.60,0.60,0.80,71.00,74.35,75.50
20,18:20,7,0.90,1.00,1.00,0.80,0.90,0.65,0.75,0.60,0.55,70.25,73.56,74.75
32,19:00,21,0.90,1.00,1.00,0.80,0.90,0.70,0.60,0.60,0.60,70.00,73.30,74.50
28,18:37,13,0.80,0.70,0.30,0.50,0.40,0.70,0.75,0.75,0.70,69.75,73.04,74.25
2,19:13,26,0.90,0.90,1.00,0.50,0.75,0.60,0.70,0.75,0.55,69.50,72.77,74.00
15,19:20,32,0.80,0.80,1.00,1.00,1.00,0.50,0.65,0.75,0.60,68.75,71.99,73.25
30,18:19,5,0.90,1.00,1.00,1.00,1.00,0.60,0.60,0.60,0.55,68.00,71.20,72.50
8,19:13,28,0.80,0.70,0.30,0.00,0.15,0.70,0.70,0.60,0.55,60.50,63.35,65.00
35,19:20,35,0.80,0.80,0.30,0.00,0.15,0.70,0.70,0.60,0.50,60.00,62.83,64.50
33,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50
